Movie Name,Language,IMDb Rating,Running Time,Year of Release,Maturity Rating,Plot
The Smurfs,Hindi,5.4,1 h 42 min,2011.0,7+,"When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world and into ours - in fact, smack dab in the middle of Central Park."
Motu Patlu King of Kings,Hindi,6.8,1 h 44 min,2019.0,All,"Guddu Ghalib, the circus lion escapes into Furfuri Nagar and encounters with Motu-Patlu and gang. His reluctance to go back makes Motu promise him to leave him in an open jungle. But a bigger threat is looming over the jungle in the form of Narsimha, who wants to cut down the forest! Can our duo save the jungle from this evil villain?"
Sagar Balaka,Bengali,7.4,1 h 50 min,1984.0,NR,"Sagar Balaka is a 1984 Indian Bengali film, directed by Dinen Gupta. The film stars Debashree Roy and Dipankar Dey in lead roles. Music of the film was composed by Sumit Ray."
Bermuda Tentacles ( Hindi ),Hindi,3.5,1 h 29 min,2014.0,All,"This is the Hindi Dubbed Version of an American movie by the same name. When Air Force One goes down over the Bermuda Triangle, the Navy sends its best rescue team. But in saving the president, the team awakens a monster which threatens America's entire Eastern Seaboard and, ultimately, the world."
Transformers Prime Predacons Rising,English,7.5,1 h 1 min,2019.0,7+,"Megatron is awakened by a resurrected Unicron with the intention of seeking vengeance on the Autobots and obliterating Cybetron. Its Unicron vs the world as this forces an unlikely alliance between the Autobots, Decepticons, Predaking and Predacons, who join forces in a never before seen epic battle to protect the Earth and Cybetron."
Udayon,Malayalam,4.3,2 h 36 min,2005.0,All,"Kunju is so obsessed with his land that he even grabs his sister's share by forging his father's will. Though he is known to be stubborn, his love for agriculture is appreciated by his youngest son."
Pakeezah,Hindi,7.4,2 h 27 min,1972.0,All,"Pakeezah is the story of a beautiful courtesan named Sahibjaan who is unable to break away from the cycle of prostitution until a young forest ranger named Salim falls in love with her enthralling beauty and innocence. Unfortunately, his wealthy parents are against their union."
NOTA,Telugu,6.4,2 h 24 min,2018.0,16+,Varun (Vijay Devarakonda) is forced to become the CM of Tamil Nadu when his father (Nasser) is imprisoned and loses his CM chair. He is an easy going youth who stays the same even after becoming the CM until he realizes his responsibilities and power and decides to change the society and politics with the support of his advisor Mahendran (Sathyaraj).
The Expendables 2,Tamil,6.6,1 h 38 min,2012.0,18+,"Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat."
Batla House,Hindi,7.2,2 h 19 min,2019.0,13+,An action thriller based on the 2008 police encounter in Delhi's Batla House.
Godzilla (2014),English,6.4,2 h 3 min,2014.0,13+,"This spectacular adventure pits Godzilla, the world's most famous monster, against malevolent creatures that, bolstered by humanity's scientific arrogance, threaten our very existence."
Aatagallu,Telugu,5.3,2 h 15 min,2018.0,13+,"Siddharth is a top director accused of brutally murdering his wife Anjali. Veerendra is appointed as public prosecutor in the case. He has a track record of supporting the right guy. All evidence point at Siddharth as the killer. What happens when Veerendra is convinced that Siddharth is not a murderer? Veerendra finds that what appeared a simple case takes on a darker, more dangerous aspect."
You Don't Mess with the Zohan,English,5.5,1 h 52 min,2008.0,18+,An Israeli commando fakes his own death in order to pursue his dream: becoming a hairstylist in New York.
Aamad,Hindi,5.9,12min,2017.0,All,"Abhay returns home to find his father on his deathbed. Old painful memories resurface. Will he be able to make amends for the faults of his past? As his father passes on, will this be Abhay’s rite of passage?"
A Beautiful Day in the Neighborhood,Tamil,7.3,1 h 48 min,2019.0,All,"Tom Hanks portrays Mister Rogers in a timely story of kindness triumphing over cynicism, based on the true story of a real-life friendship."
Chhoti Si Baat,Hindi,8.3,1 h 55 min,1976.0,All,A timid suitor seeks the help of a ruthless colonel to win the woman of his dreams when a bold young man begins to pursue her in this romantic comedy.
Crash,English,7.7,1 h 48 min,2005.0,18+,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption."
Shreelancer,Hindi,7.2,1 h 33 min,2017.0,13+,"Shree is a young freelance copywriter who struggles to cope with self-doubts about his artistic abilities. Shree's worldview is shaped by what he reads online, not having travelled much in the""real""world. He then gets a chance to travel which changes his life forever. This film was an official selection for the New York Film Festival 2017"
Rajakota Rahashyam,Telugu,7,2 h 10 min,1971.0,NR,"Rajakota Rahasyam is a 1971 Indian Telugu film, directed by B. Vittalacharya and produced by M. K. Gangaraju. The film stars N. T. Rama Rao and Devika in lead roles. The film has musical score by Vijaya Krishnamurthy."
Hameshaa,Hindi,5.3,2 h 18 min,1997.0,13+,"This movie revolves around the friendship of two guys - Raja and Yash, who fall in love with the same girl - Rani. Things take a dramatic turn when Rani falls in love with Raja. Blinded by jealousy and rage Yash kills his best friend in front of Rani."
Balika Badhu,Hindi,7,1 h 56 min,1976.0,All,"The film is about a young girl who is married before she is old enough to understand what marriage is all about, against the backdrop of Indian freedom struggle. Gradually she and her school-going husband grow as a couple and begin to love one another.This romantic comedy drama stars Sachin with Rajni Sharma. Bade Achhe Lagte Hain"" was Amit Kumar's first hit song."
Jeepers Creepers 2,Telugu,5.6,1 h 44 min,2003.0,18+,"Set a few days after the original, a championship basketball team's bus is attacked by The Creeper, the winged, flesh-eating terror, on the last day of his 23-day feeding frenzy."
Jaatishwar,Bengali,8,2 h 27 min,2014.0,All,"Rohit goes to Portugal in order to pursue his studies, he gets intrigued by the works of Hensman Anthony, a Portugal poet, who learnt Bengali to become famous during the period. This is a reincarnation story of Anthony Firinghee and his wife Bengali wife Mini."
Petromax,Tamil,5.4,2 h 6 min,2019.0,13+,"When an ancestral house comes up for sale, rumor crops up that it's haunted. Unwilling to settle for a distressed sale, an arrangement is made for four members to stay at the house and prove that there are no ghosts inside."
Aadmi Aur Apsara,Hindi,6.5,2 h 22 min,1991.0,NR,"Raju, a courageous and spirited young man is a caregiver to four young orphans, Shamili, Shalini, Richard and Rishi. He works as a local tour guide in a picturesque hill station. Complications arise when one of the children gets injured accidentally and, on suggestion of an ayurvedic guru, Raju sets out to the Himalayas to find a cure on the banks of the river Manasa Sarovar. However, in the ..."
Super Bheem Dream Catcher,Hindi,6.2,1 h 6 min,2017.0,7+,"Chal Chaya wreaks havoc in the universe by making everyone’s dreams come true. Super Bheem has to save his friends, from falling in the thoughts of evil and remind them of will power."
Salon Kitty,English,5.4,2 h 5 min,1976.0,18+,"Berlin, 1939: SS officer Wallenberg is ordered to find Germany’s most beautiful women to work in the opulent brothel of Madam Kitty, while Wallenberg secretly records their acts for blackmail. When a young prostitute uncovers the conspiracy, her revenge ignites a plot of pain and perversion."
Manu Uncle,Malayalam,7.2,1 h 56 min,1988.0,NR,"Manu Uncle is a 1988 Indian Malayalam film, directed by Dennis Joseph Produced by Joy Thomas""The film Stars Mammootty, Master Kuriyachan, Master Anoop, Master Sandeep, Master Kareem, Baby Sonia.In lead roles The film had musical score by""Shyam,"
Shift,English,7.4,28min,2020.0,13+,"To get the spotlight in their region for tourists and economic development, youths from Yukon, Canada create a mountain biking trails. All they have is their own drive for progress. When thousands come to visit their region for the trails, they realize they have successfully accomplished a cherished goal. Watch them evolve and grow a sense of pride as they re-establish a bond with their land."
Kuch Pal Pyar Ke,Hindi,4.3,1 h 44 min,2018.0,NR,"Kuch Pal Pyar Ke is a 2018 Indian Hindi film, directed by V.H. Kumar. The film stars Aamir and Zoya in lead roles. The film's musical score is given by Aniket Trivedi."
Lekar Hum Deewana Dil,Hindi,4.9,2 h 13 min,2014.0,NR,"Set in uber cool South Mumbai, Dino and Karishma are young and restless and want to live life on their own terms, frolicking around the city and painting the town red with friends. When their exciting lives get jolted with the pressure Karishma' s family is piling on to getting her hitched, she and her rebellious best friend, Dino, realize that it's them who are in fact 'made for each other' ..."
Worlds Apart,English,7,1 h 54 min,2017.0,16+,"In modern Greece, while socioeconomic turmoil ravages Southern Europe, three distinct stories unfold, each representing a different generation of Greeks in love with a foreigner, each story coming together in the end to form a whole."
Naqaab,Hindi,5.3,1 h 58 min,2007.0,13+,"Sophia, a middle-class girl, gets engaged to a millionaire Karan who dearly loves her. But soon she meets the man of her dreams in Vicky, a struggling but ambitious actor. This love triangle causes twists and turns which leave their lives rattled."
Aami Shey O Sakha,Bengali,6.8,2 h 20 min,1975.0,NR,"Chandrani Roy is a student of History at Calcutta University and also a part-time author and poet. Fate brings Chandrani, Prashanta and Sudhir together. Sudhir is a very outspoken person. He can’t hide his feelings. Though Chandrani and Sudhir like each other, Sudhir convinces Chandrani to marry Prashanta as there are many dark mysteries that Sudhir needs to solve."
Blindspotting (2018),English,7.4,1 h 35 min,2018.0,18+,Lifelong friends Daveed Diggs and Rafael Casal co-wrote and star in this timely and wildly entertaining story about the intersection of race and class set against the backdrop of a rapidly gentrifying Oakland.
Hello! Hum Lallan Bol Rahe Hain,Hindi,6.2,1 h 49 min,2010.0,All,A security guard arranges the marriage of the woman he loves to another man.
Catch a Falling Star,English,6,1 h 25 min,2000.0,13+,"Sydney Clarke (Sela Ward) is a spoiled famous actress who is shooting a film when she walks in on her cheating fiancé. She storms off the set and finds herself stranded in a small mill town. There, she takes refuge for a while, and in so doing discovers the true meaning of love and friendship. Sydney must decide between wanting a normal life or the high-profile career she's worked so hard for."
Ayudha Poojai,Tamil,5.8,2 h 17 min,1995.0,18+,"Krishnasamy, a respected man, and Samiyappan are in a feud for several years. Amudha, Krishnasamy's daughter, hates her father because she thinks that he is a killer.A few years before, Krishnasamy was a tea master with his friend Kandhasamy. After his father's death, Krishnasamy had a lot of responsibility."
Dharma Sere,Kannada,6.9,1 h 59 min,1979.0,NR,"Dharma Sere is a 1979 Indian Kannada film, directed by S R Puttanna Kanagal and produced by Aarathi. The film stars Aarathi, Srinath, Sathyapriya, Sathyabhama, Jayashree, Baby Nandini, Seetharam, Musuri Krishnamurthy, Nanjundaswamy, Pranavamurthy, Kiran, Dwarakanath, Shivaram, Chandrashekar, Jai Jagadish, Yoganarasimha, Vishwanath Rao, Dikki Madhavarao, Sharapanjara Iyengar and Appurao in le ..."
Thoongathey Thambi Thoongathey,Tamil,6.4,2 h 17 min,1983.0,18+,Kamal Haasan plays the dual roles of an unemployed guy from a middle class society and a guy from a rich society returning from abroad after his father's death. Radha is unemployed Kamal's ladylove. What Radha will do to save the rich Kamal's properties from the hands of Vinu Chakravarthy and Senthamarai forms the rest of the story.
Jawaan (Hindi),Hindi,4.7,1 h 44 min,2018.0,13+,"Jai, an honourable and sincere man, gets into a conflict with his childhood friend Keshava, a dangerous criminal, after he plans to steal a missile from the DRDO."
Columbus,Telugu,7.2,2 h 7 min,2015.0,13+,"Ashwin(Sumanth Ashwin) is a college going youth who falls in love with Indu(Mishti). As time passes by, Ashwin leaves all his career goals behind and lives life with only Indu's point of view. This is also the time when he comes across Neeraja(Seerat Kapoor) who promises him to help find Indu."
All the Light in the Sky,English,6.4,1 h 18 min,2012.0,NR,"An insomniac actress living in Malibu faces the harsh realities of the industry as her age exempts her from more and more acting opportunities. Amidst this career and life crisis enters the actress’s niece, who arrives for a weekend stay and ushers in a complicated prism of emotional insecurities."
CHI-RAQ,English,5.7,2 h 6 min,2015.0,18+,"Directed by the critically acclaimed filmmaker Spike Lee, Chi-Raq is a modern day adaptation of the ancient Greek play “Lysistrata” by Aristophanes. After the murder of a child by a stray bullet, a group of women led by Lysistrata organize against the on-going violence in Chicago’s Southside creating a movement that challenges the nature of race, sex and violence in America and around the world."
Thugs Of Hindostan (Hindi),Hindi,4.1,2 h 44 min,2018.0,16+,A story about one man’s love for his nation and another’s love for power. An epic adventure filled with edge-of-the-seat thrills and war on the seas.
Total Siyapaa,Hindi,5,1 h 46 min,2014.0,13+,"Settled in London, Aman (Ali Zafar) hopes to marry Asha (Yaami Gautam), an Indian girl, also based in London. He visits her parents to seek their permission to marry her. But his plans to impress the family starts failing after they find out he is a Pakistani."
My Best Friend's Girl,English,5.9,1 h 40 min,2008.0,13+,Tank (Dane Cook) faces the ultimate test of friendship when his best friend (Jason Biggs) hires him to take his ex-girlfriend (Kate Hudson) out on a lousy date in order to make her realize how great a boyfriend he is.
Ek Aur Zabardust Khiladi,Hindi,6.1,1 h 43 min,2014.0,13+,"Varun Sandesh (Jai) who always gets cheated by girls. One day, he meets Mahalakshmi (Haripriya) and falls in love. Jai decides to reveal his love for Mahalakshmi and sets off to her native place to meet the girl of his dreams. Once he lands there, he gets a shock as he finds out that she has eloped with someone and has left her family in distress."
Family of Cops II: A Breach of Faith,English,5.5,1 h 31 min,1997.0,13+,"In this sequel to ""A Family of Cops"", the family of cops is back, this time dealing with the murder of a priest tied in with the Russian Mafia, who proceed to try to draw the family off the case."
Nagarangalil Chennu Raparkam,Malayalam,7.1,2 h 35 min,1990.0,NR,"Kunjoottan (Sreenivasan) is an innocent young man living in a remote village. He is the only heir to his rich, aristrocratic parents, Thamburan(Nedumudi Venu) and Kunjulakshmi(Sukumari). He cannot stand his overprotective father, who is concerned about his son because he had a bad dream about his son's death. The family astrologer Panikker(Oduvil Unnikrishnan) confirms this and predicts that ..."
Ghare & Baire,Bengali,6.5,1 h 57 min,2018.0,13+,"Amit, a Bangla band musician, halts his bohemian dreams of making music in Kolkata, to exile himself to corporate slavery in Mumbai hoping to one day declare his feelings for his best friend Labanya. But suddenly his grand plans are thrown out of whack when, the unconventional Labanya under family pressure agrees to a traditional arranged marriage in Kolkata to an NRI Probashi Bangali from the US."
Bharat Ane Nenu,Telugu,7.7,2 h 48 min,2018.0,13+,Bharath (Mahesh Babu) who comes down to attend the sudden demise of his father who was the Chief Minister of Andhra Pradesh is forced to become the CM himself. He is not happy with the way government is functioning in the state and wants to bring in monumental changes in it’s operations. The number of people opposing him only grows day by day forcing him to take a few strong decisions.
Aickarakkonathe Bhishaguaranmaar,Malayalam,7.8,2 h 7 min,2018.0,All,"The movie  follows the story of Ayurvedic physician Sukumaran Vaidyar and his family, who run a charitable ayurvedic resort named Ayur Home. Despite the presence of a multi-specialty hospital in the area, the villagers of Aickarakkonam believe in the efficacy of Ayur Home. The film recounts certain events that unfold in the life of Sukumaran Vaidyar, and how it affects the village and its people."
The Proposition,English,4.7,1 h 30 min,1997.0,18+,"The Napoleonic war leaves Catherine Morgan, widowed and desolate, her life and land up for grabs. With two daughters and her debts mounting, she is easy prey for the power-hungry sheriff, Huw, who demands her hand in marriage. Driven by despair and a glimmer of hope, Catherine turns to Huw's half brother, Rhys, a drunken womanizer, whose skills as a drover may prove the way to her salvation."
Abhagini,Bengali,6.6,2 h 30 min,1991.0,All,Abhagini is the story of a girl who is motherless and has been tortured by her step mother all her life. She leaves for the city and comes to stay with a family that ill-treats her. But she manages to win the hearts of everyone at the end.
Chhota Bheem Vs Aliens,Hindi,7.6,1 h 9 min,2010.0,All,"Aliens invade earth and capture the king and the princess of Dholakpur. Chhota Bheema confronts the alien, who then challenges Bheema to a cricket match and promises to leave if Bheema and his friend win. Can the kids defeat a team of aliens to save the earth?"
Bloody Isshq,Hindi,7.5,2 h 19 min,2013.0,NR,"Popular among men, the life of every party, rebel heiress Natasha meets with a life-threatening accident. Rescued by mystery man Nirvaan Shroff, Natasha is immediately attracted to her savior’s attitude and rough persona. Cautious Nirvaan Shroff, though, isn’t one to be easily taken in. Caught in a game of seduction, Natasha finds herself losing to love. But is Nirvaan available?"
Ek Hasina Thi,Hindi,7.5,2 h 12 min,2004.0,18+,"Ek Hasina Thi Is An Award Winning Romantic Thriller Hindi Film,Directed By Sriram Raghavan,Starring Urmila Matondkar And Saif Ali Khan In The Lead Roles.The Film Was Premiered At The New York Asian Film Festival.It Has Won Two Awards. Sarika Transforms Into A Vindictive Woman Who Wants To Avenge Everyone Who Wronged Her.The Most Wanted On Her List Is Karan, As He Was The One Who Ruined Her Life."
A Teacher,English,6.9,1 h 15 min,2013.0,NR,"Diana, a young, attractive teacher at a suburban Texas high school, is well-liked by her students and colleagues. Her life seems to be following the status quo, but in reality she’s having a secret affair with her student Eric…"
Prem Pujari,Bengali,7,2 h 11 min,2017.0,13+,A 90’s Bengali movie about Prem who gets separated from his father at a young age. Will he be reunited with his father?
W/o V. Vara Prasad,Telugu,6.3,2 h 4 min,1998.0,NR,"W/O V. Vara Prasad is a 1998 Indian Telugu film, directed by Vamsy and Produced by Ram Gopal Varma. The film stars J. D. Chakravarthy, S. P. Balasubrahmanyam, Vineeth and Esha in lead roles. The music of the film was composed by M. M. Keeravani."
Sunayani,Bengali,2.8,1 h 45 min,1979.0,All,"Sunayani is a 1979 movie starring Uttam Kumar, Shakuntala Barua, Kali Bannerjee, Suvendu Chatterjee, Dilip Roy and Rajat Das. Enjoy watching this superhit movie."
Vadhu Doctoranu,Malayalam,6,2 h 14 min,1994.0,NR,"Vadhu Doctoranu is a 1994 Indian Malayalam Flim, directed by K. K. Haridas & produced by Girish Vaikom.The flim star Jayaram, Nadhiya, Oduvil Unnikrishnan & K. P. A. C. Lalitha in lead roles.The music of the film was composed by Johnson & Kannur Rajan."
Dr. Seuss' The Lorax,Hindi,6.4,1 h 26 min,2012.0,7+,"From the creators of Despicable Me comes this spectacular Dr. Seuss adventure about a twelve-year-old boy searching for The Lorax: a grumpy, but charming creature who speaks for the trees."
Alamara,Malayalam,5.3,2 h 6 min,2017.0,All,Arun (Sunny Wayne) and Swati (Aditi Ravi) get a wooden cupboard as a traditional wedding gift. The artifact soon bears witness to the couple's struggle against overbearing parents and misunderstandings.
Baazigar,Hindi,7.7,2 h 50 min,1993.0,13+,A young man with a vendetta against a business tycoon seduces and kills his eldest daughter and then proceeds to his younger daughter but she begins to suspect her new lover's ulterior motive.
Baadshah,Telugu,6.4,2 h 44 min,2013.0,13+,"Rama Rao fails to get a job with the police force due to his father's connections with a gangster. But when his brother is killed by the gangster, Rama Rao becomes Baadshah to oppose him."
Kakkakum Poochakkum Kalyanam,Malayalam,5.3,2 h 33 min,1995.0,NR,"Kakkakum Poochakkum Kalyanam is a 1995 Indian Malayalam film, directed by K. K. Haridas and produced by Fazal, Satheesh Kuttiyil, Premkumar Parambath. The film stars Dileep, Devayani, Geetha Vijayan and Meena in lead roles. The film had musical score by Ravindran."
Jessabelle,English,5.4,1 h 30 min,2014.0,13+,"Returning to her childhood home in Louisiana to recuperate from a horrific car accident, Jessabelle (Sarah Snook) comes face to face with a long-tormented spirit that has been seeking her return and has no intention of letting her escape."
Aik,Marathi,4.9,1 h 55 mins,2012.0,13+,This story is about an individual who conveniently believed that he loved his wife and his three year old son more than himself until he is trapped in something he had designed himself.
Laavaan Phere,Punjabi,5.4,2 h 2 mins,2018.0,13+,"A young man falls in love with a woman and decides to marry her. However, his brothers-in-law and the bride's hot-headed father create complications."
Uma,Bengali,7.3,2 h 26 min,2018.0,13+,"Based on the true incident of Evan Leversage, known across the globe as The Boy Who Moved Christmas, “Uma” directed by Srijit Mukherji, is a story about a young girl who is fighting a terminal disease, a father who is struggling to make his daughter's dreams come true and about a director, whose past haunts him."
23rd March 1931 Shaheed,Hindi,5.1,3 h 7 min,2002.0,All,"When his mentor Lala Lajpat Rai is beaten to death by the Britishers, Bhagat Singh sets out to avenge his death. Upon killing the responsible British official, Bhagat Singh is sentenced to death for his actions."
Sin Sister,Bengali,5.4,1 h 30 min,2020.0,13+,An author’s life changes completely after two sisters come to work for him. Is this a sinister war of love and identity?
Empire State,English,5.2,1 h 30 min,2013.0,16+,Chris works as a security guard. He joins forces with his best friend and steals from the company he works for. Things take a turn when a detective starts chasing them.
Get Duked!,English,6.2,1 h 26 min,2020.0,16+,"Get Duked is an anarchic, hip-hop inspired comedy that follows four city boys on a wilderness trek as they try to escape a mysterious huntsman."
Kidnap,Bengali,5.1,2 h 4 min,2019.0,13+,"After stumbling across illegal activities in a shady pub, a photojournalist finds her life in jeopardy. The only person standing between the criminal racket and her is a youngster who is a singer at the pub. Can he save her from the imminent danger?"
E Ee,Telugu,7.2,2 h 28 min,2017.0,13+,"E Ee is about Siddhu (Neiraj Sham,) who hates women. Hasini (Naira Shah,) who detests men, joins Siddhu's company and trouble starts brewing, as the two don't get along. On a company trip, Siddhu and Hasini get into a heated argument and Siddhu insults all women! This is overheard by a Swami, who curses them both. Siddhu's and Hasini's souls are interchanged. Does this bring the two closer?"
The Purge: Anarchy,Hindi,6.4,1 h 43 min,2014.0,18+,"The sequel to summer 2013's hit, The Purge: Anarchy follows a group of strangers stranded on the streets during the country's annual 12 hours of anarchy."
Chitthi,Marathi,7.7,1 h 42 mins,2018.0,NR,"Chitti is a small-town romantic comedy where one small mistake ends up disrupting the lives of many. The story opens with Shraddha getting married off against her wishes. So her lover Santosh hatches a plan to elope. He sends a letter via his younger brother and his gang to her, but they end up misplacing it while on their way back. Worse, the letter ends up with a post master! Thereafter, w ..."
JFK,English,8,3 h 25 min,1991.0,18+,"Obsessed with getting answers a district attorney risks his family, his career and his very life to find the truth of the JFK assassination."
Himmat,Hindi,4.6,2 h 51 min,1996.0,18+,"Himmat Is A Bollywood Hindi Action Movie, Directed By Sunil Sharma, Starring Sunny Deol, Tabu And Shilpa Shetty In The Lead Roles. Two Indian Secret Agents, Ajay And Abdul, Share A Brotherly Bond. However, When Abdul Is Killed In The Line Of Duty, The Mission Is Handed Over To Ajay, Who Decides To Avenge His Friend's Death."
Aayiram Poi,Tamil,7,2 h 40 min,1969.0,NR,"Chinnadurai, who shares a bitter past with Kanakasabai, refuses to allow his son, Ravi, to get married to the latter's daughter, Malathi. Ravi decides to resolve the misunderstanding between the duo."
Bounty Hunters,Telugu,5.4,1 h 45 min,2016.0,13+,"It is the story of five bounty hunters who chase fugitives for money in China, Hong Kong, Korea and Thailand."
Vajrayudham,Telugu,6.5,2 h 21 min,1985.0,NR,"Vajrayudham is a 1985 Indian Telugu film, directed by K. Raghavendra Rao and Produced by K.Lingamurthy. The film stars Krishna, Sridevi and Rao Gopalarao in lead roles. The music of the film was composed by Chakravarthy."
Marna Mrudangam,Telugu,7.5,2 h 17 min,1988.0,NR,"Jaani runs a small-time casino with his partner Bhillu. One day he helps two women Anusha and Uthpala stuck with their broken car, and gives them a drive. Uthpala succeeds in an interview by remembering Jaani's answer and gets a job as a nurse in a hospital. Jaani and his partner also help Anusha to get a job by blocking her competitor. One day, Bhillu discovers cocaine in an egg in his kitc ..."
Do Phool,Hindi,6.8,2 h 19 min,1973.0,NR,"Mummy called them two 'phool', whilst Daddy said they were two fools! Dewan Bahadu Atal Rai believed that both his sons, Pavitra Kumar (alias Puttan) and Charitra Kumar (also known as Chuttan) were nothing better than loafers and ne'er-do-wells. Their mother Malati stubbornly pinned her faith in Chuttan and Puttan and asserted that they were still mere children. Let us find brides for them, ..."
Wake Of Death,Bengali,5.7,1 h 24 min,2004.0,16+,Wake Of Death Is An Action Adventure Movie. When Ben Archer Decides To Move Out Of The Organized Crime World He Moves To America With Cynthia And Nicholas. Cynthia Brings Home A Rescued  Girl Who Turns Out To Be The Daughter Of Kingpin Who Murders Cynthia And Takes The Girl And Nicholas. Rekindling His Old Mob Connections Ben Embarks On A Bloody Vendetta To Save The Kids And Punish Quan.
Kuchh Meetha Ho Jaye,Hindi,3.4,2 h 5 min,2005.0,All,The mixture of different people from different walks of life is well shown in this romantic comedy movie.
Trapped,Hindi,7.6,1 h 41 min,2017.0,13+,A thriller that captures a young man's desperate attempts to escape from the isolation of an apartment in the heart of Mumbai.
Idu Sadhya,Kannada,7.2,1 h 32 min,1989.0,NR,"Idu Sadhya is a 1989 Indian Kannada film, directed by Dinesh Babu and Produced by Chandulal Jain. The film stars Anant Nag, Shankar Nag, Revathi and Prabhakar in lead roles. The music of the film was composed by Vijayanand."
Forrest Gump,English,8.8,2 h 22 min,1994.0,13+,"Tom Hanks gives an astonishing performance as Forrest, an everyman whose simple innocence comes to embody a generation."
Priyam,Malayalam,5.7,2 h 23 min,2000.0,NR,"Benny, an orphan, takes care of three orphans. Benny's best friend at the orphanage was Annie, who was taken away by her father. She decides to return to Benny. But fate has other plans."
Drive Angry,Marathi,5.4,1 h 40 mins,2011.0,18+,A vengeful father escapes from hell and chases after the men who killed his daughter and kidnapped his granddaughter
Kasu Mela Kasu,Tamil,         None,2 h 4 min,2018.0,All,"Periyasamy (Mayilsamy), an idler, hopes to enjoy life as a rich man by making his son, Murali (Sharukh) to make Mynaa (Gayathri) to fall in love with him. Periyasamy thinks that Mynaa is the daughter of a wealthy jeweller. Little does he realise that Mynaa is actually the daughter of a pauper who earns by begging. What happens next is the rest of the movie."
Whistle,Tamil,5.5,2 h 33 min,2003.0,13+,"Jeeva (Vikramaditya) is the editor of the college magazine. Both Anjali (Gayatri Raghuram) and Maya (Sherin) fall for him. But Jeeva leans towards Anjali. Naga, the spirit of a woman killed centuries ago, haunts the college. Students begin to vanish mysteriously. Their disappearance is attributed to Naga. How the Naga mystery is solved forms the rest of the story."
Air Strike,English,3.2,1 h 37 min,2018.0,18+,"During World War II,Five different Chinese people fight their way through Japanese Air Force attacks to protect an important military machine in Chongqing, 1940."
Basanta Bilap,Bengali,7.7,1 h 57 min,2017.0,13+,A Bengali romcom about a huge but hilarious rivalry between the men and women living in a hostel - until love strikes!
Underworld Awakening,Hindi,6.4,1 h 28 min,2012.0,18+,"After awakening from a fifteen-year coma, Selene discovers she has a fourteen-year-old vampire-Lycan hybrid daughter and that they must stop a bio-tech company from creating an army of super-Lycans."
Tom and Jerry: The Movie,English,5.4,1 h 23 min,1993.0,All,"Tom and Jerry are left homeless after their families move away without them. Alone in the real world, the two friends get advice from a streetwise dog and his wisecracking friend then team up with an eight-year-old orphan girl. Now chased by the orphan's evil aunt, alley cats, animal catchers and crazy kidnappers, Tom and Jerry use all the lovable tomfoolery they know to rescue their new friend."
Dragon Blade,Telugu,6,2 h 7 min,2015.0,13+,"When corrupt Roman leader Tiberius arrives with a giant army to claim the Silk Road, Huo An teams up his army with an elite Legion of defected Roman soldiers led by General Lucius to protect his country and his new friends."
Thank You For Your Service,English,6.5,1 h 45 min,2017.0,18+,Soldiers returning from Iraq struggle to integrate back into family and civilian life while living with the memory of war that threatens to destroy them long after.
Rebecca Uthup Kizhakkemala,Malayalam,4.1,2 h 20 min,2013.0,All,"The movie showcases Rebecca Uthup (Ann Augustine), from the village Kizhakkemala. A gifted athlete and a winner of the Asian Games, she aspires to compete in the Olympics someday. The story looks at family relationships as crucial support systems."
Saaransh,Hindi,8.2,2 h 11 min,1984.0,13+,A retired school teacher and his wife come to terms with life after the death of their only son in a senseless mugging incident on the mean streets of New York.
Ami Mantri Habo,Bengali,3.3,2 h 26 min,2011.0,13+,"The plot is centralized on Jadu Datta, who decides to run for the elections against Sudarshan Roychoudhury. He decides to buy off his voters with cash. Dharma, the local moneylender decides to support Sudarshan because of an old enmity between him & Jadu. Jadu's son & Dharma's daughter who love each other also support Sudarshan. On the day of the results, Jadu loses badly in the end to Sudarshan."
Annabelle: Creation,English,6.5,1 h 49 min,2017.0,13+,"She’s back! In “Annabelle: Creation”, years after the tragic death of his little girl, a dollmaker’s possessed creation targets a nun and orphans that he has welcomed into his home."
Barsaat Ki Ek Raat,Hindi,6.3,2 h 21 min,1981.0,All,"Inspector Abhijeet Rai leads a harmonious life with his pregnant wife Rajni. His life comes crashing down when Kaliram, a man he had arrested five years ago, returns in his life to take revenge."
Vincent N Roxxy,English,5.6,1 h 41 min,2017.0,18+,A small town loner and a rebellious punk rocker unexpectedly fall in love as they are forced on the run and soon discover violence follows them everywhere.
Nenorakam,Telugu,5.4,1 h 57 min,2017.0,13+,"Nenorakam movie revolves around Gautam (Sairam Shankar), a loan collection agent who falls in love with Swecha (Reshmi Menon). After multiple attempts, Gautam succeeds in winning back her love. The plot changes gears as a gang involved in human trafficking kidnap Swecha and the onus is on Gautam to rescue her."
8 X 10 Tasveer,Hindi,5.4,1 h 59 min,2009.0,All,"Jai has the ability to see into the past by looking at photographs. When his father dies mysteriously, he decides to use his ability in order to find the murderers."
